	PC1	PC2	PC3	PC4	PC5	PC6
Orwoll_BI0023_BI	-0.12912805176115577	-0.13478145930844512	0.042380530554922635	0.17338355657990664	-0.003431287906286917	0.0
Orwoll_BI0056_BI	-0.09201950670064461	0.23750165032060416	-0.030767869352507412	0.05365540164234924	-0.04135676583746806	0.0
Orwoll_BI0131_BI	-0.18672940644255911	-0.01880872256563759	0.15163198033883335	-0.1408718693633402	0.013611393370684486	0.0
Orwoll_BI0153_BI	0.06843838458354137	-0.09791766405635079	-0.12381078744019998	-0.07508375468747691	-0.10416130668711489	0.0
Orwoll_BI0215_BI	-0.003937706919220717	-0.00814970660379848	-0.15251179756497754	-0.028692966865033972	0.11819355132475588	0.0
Orwoll_BI0353_BI	0.3433762872400387	0.022155902213627746	0.11307794346392891	0.017609632693595324	0.017144415735429568	0.0

	PC1	PC2	PC3	PC4	PC5	PC6
proportion_explained	0.4233339721296298	0.19721082825095754	0.17875499078496368	0.13806192702856432	0.0626382818058847	0.0
